Package;Class;Case;Execution;Result;TotalTime;NumInteractions;NumFallbacks
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;6;pass;22495;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;7;pass;22448;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;8;pass;22499;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;9;pass;22517;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testAddShortcut;10;pass;22487;13;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;1;pass;11708;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;2;pass;11330;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;3;pass;11275;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;4;pass;11220;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;5;pass;11231;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;6;pass;11274;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;7;pass;11235;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;8;pass;11290;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;9;pass;11271;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardChanges;10;pass;11249;7;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;1;pass;18672;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;2;pass;18638;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;3;pass;18571;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;4;pass;18538;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;5;pass;18504;10;0
it.feio.android.omninotes.alpha;TestAdditionalFeatures;testDiscardOnExistingNote;6;pass;18476;10;0
